radius_um,kappa,loss_db_per_cm,resonance_nm,analytic_fsr_nm,fwhm_nm,q_loaded,extinction_ratio_db,baseline_transmission,min_transmission
5.0,0.05,0.5,1543.2238639168424,19.11848753891393,0.008641027421144282,178592.63588732856,2.527822838521722,0.9999999245099519,0.5587501894125421
5.0,0.05,2.0,1543.2238639277405,19.11848753891393,0.011913868731340309,129531.71624832298,11.455345046204169,0.9999996980360808,0.07152623483490361
5.0,0.05,5.0,1543.223863959947,19.11848753891393,0.018459551341812343,83600.2910029792,14.799212481103176,0.9999992450749838,0.033119092187803956
5.0,0.1,0.5,1543.2238640645146,19.11848753891393,0.0314053278915004,49138.919020239744,0.6254417751387221,0.9999996968785588,0.8658759773317307
5.0,0.1,2.0,1543.223864099541,19.11848753891393,0.034678169169587034,44501.30733697896,2.5181776962827787,0.9999987875024595,0.5599918466036036
5.0,0.1,5.0,1543.2238641799895,19.11848753891393,0.04122385167077005,37435.21775948508,6.544738807422342,0.999996968692876,0.22157706364724805
5.0,0.15,0.5,1543.2238646918304,19.11848753891393,0.06973183316097502,22130.837448792125,0.27612242257809333,0.9999993134764608,0.9383988342377816
5.0,0.15,2.0,1543.2238647674467,19.11848753891393,0.07300467404381648,21138.699473423076,1.10588817537202,0.9999972537164104,0.7751932630802005
5.0,0.15,5.0,1543.2238649290828,19.11848753891393,0.07955035554789383,19399.33334427367,2.7845985538379585,0.9999931332589115,0.5266682797757004
5.0,0.25,0.5,1543.223870107483,19.11848753891393,0.19575532903682102,7883.43222992007,0.09735657866291347,0.9999980424685109,0.9778303031083247
5.0,0.25,2.0,1543.2238703166236,19.11848753891393,0.19902814537891217,7753.797169634553,0.3894874940012067,0.9999921682606792,0.9142139613622098
5.0,0.25,5.0,1543.2238707453077,19.11848753891393,0.20557377285254663,7506.910289826839,0.9745768036166385,0.9999804123715101,0.7989761449303099
5.0,0.4,0.5,1543.2239088519127,19.11848753891393,0.5269428221697634,2928.6363603881437,0.036036657863283465,0.999994496013513,0.9917311256560885
5.0,0.4,2.0,1543.2239094117847,19.11848753891393,0.5302142950899427,2910.5663949516875,0.14414977331319262,0.9999779713403395,0.9673317792022184
5.0,0.4,5.0,1543.223910541891,19.11848753891393,0.536757151118888,2875.0877511831745,0.36041809400374925,0.9999448648779442,0.920310220398187
